"","Treatment","Timepoint","Photo","gs","Fv.Fm.","Starch","NSC","SM..."
"1","WW",1,11.58513315,0.296912756,0.751825355,39.66346154,2.673642147,31.3
"2","WW",1,10.93915166,0.370798581,0.744585003,85.28225806,2.617188905,37.6
"3","WW",1,11.26215652,0.361059335,0.730844892,22.89746544,2.336974992,35.9
"4","WW",1,11.65974812,0.382390992,0.7359897,42.50672043,2.374035739,24.2
"5","WW",1,11.1490216,0.3860642,0.728010555,42.54032258,2.497700163,31.1
"6","WW",1,10.97984576,0.40542411,0.738893504,43.74279954,2.50926359,28.9
"7","WW",1,12.35523501,0.444777755,0.752708718,13.94832126,2.525715619,33.2
"8","WW",1,12.32289965,0.419429066,0.747999128,18.76120072,2.455117385,29.6
"9","WW",1,11.58513315,0.296912756,0.751825355,18.4811828,2.876934534,26.6
"10","WW",1,10.93915166,0.370798581,0.744585003,12.36944738,2.80762689,28.4
"11","WW",1,11.26215652,0.361059335,0.730844892,13.71884164,2.987197724,25.9
"12","WW",1,11.65974812,0.382390992,0.7359897,17.36111111,2.921812303,28.9
"13","Dry",1,13.00407461,0.495921487,0.762193885,26.09566654,3.025162567,21.6
"14","Dry",1,12.88130047,0.387049475,0.756169282,51.14867794,2.86259542,20.9
"15","Dry",1,12.82495078,0.396998608,0.757613736,12.90706361,3.112155021,21.6
"16","Dry",1,12.24876756,0.352552431,0.755279071,34.36030809,3.053435115,20.7
"17","Dry",1,11.39277617,0.450994028,0.723376558,21.26137841,2.600059044,22.5
"18","Dry",1,12.86099011,0.414959417,0.742831685,30.55916775,3.172179813,21.6
"19","Dry",1,11.15892804,0.439564933,0.755171314,30.09474271,3.415707077,21.9
"20","Dry",1,10.01081035,0.287366985,0.746818876,34.93320723,3.38740458,24
"21","Dry",1,13.00407461,0.495921487,0.762193885,22.67555267,2.703040921,20.9
"22","Dry",1,12.88130047,0.387049475,0.756169282,30.19794827,2.45971162,20.7
"23","Dry",1,12.82495078,0.396998608,0.757613736,22.48049415,2.436251421,23.5
"24","Dry",1,12.24876756,0.352552431,0.755279071,20.25166373,2.94438386,22.8
"25","WW",2,12.31998657,0.377315265,0.75070969,41.46575446,2.979244596,38.5
"26","WW",2,11.81884336,0.41457515,0.755220568,64.47853222,1.79969292,35.7
"27","WW",2,11.88929515,0.437099462,0.752430371,7.565963448,3.04976834,32
"28","WW",2,9.998561757,0.343276343,0.752433217,5.293709613,3.161561331,32.8
"29","WW",2,13.00642694,0.474273837,0.749366197,13.53958251,2.897031233,29.8
"30","WW",2,11.37152747,0.389873518,0.693769463,19.47973779,2.2875624,33
"31","WW",2,12.79146667,0.492779368,0.74489304,32.76663456,2.813428817,36.1
"32","WW",2,12.70345204,0.548490373,0.744317478,19.58720891,3.1800762,37.3
"33","WW",2,12.31998657,0.377315265,0.75070969,16.39326406,3.02544507,36.8
"34","WW",2,11.81884336,0.41457515,0.755220568,19.26314426,3.018528349,39.5
"35","WW",2,11.88929515,0.437099462,0.752430371,10.7617792,2.863126524,35.6
"36","WW",2,9.998561757,0.343276343,0.752433217,18.45654346,1.893394365,26.1
"37","Dry",2,13.45474539,0.487293243,0.747051716,57.92034053,3.16332454,23.6
"38","Dry",2,11.0963659,0.540275591,0.740814639,39.29765886,3.25356251,24.9
"39","Dry",2,12.05146113,0.530488808,0.726243034,20.52819744,2.993585175,25.3
"40","Dry",2,13.58660263,0.539771949,0.751100557,45.05759941,3.278016111,24.3
"41","Dry",2,13.03376711,0.586171556,0.746021928,18.52495331,3.195854443,25.4
"42","Dry",2,12.70691874,0.442567646,0.738011876,8.639910814,3.829258004,23.5
"43","Dry",2,11.89939182,0.56038271,0.734198104,89.94266603,3.194834598,20.8
"44","Dry",2,12.25291423,0.537290449,0.742290075,17.67329005,3.186652734,22
"45","Dry",2,13.45474539,0.487293243,0.747051716,21.98818758,2.745739649,18.3
"46","Dry",2,11.0963659,0.540275591,0.740814639,19.71982079,3.263263157,24.2
"47","Dry",2,12.05146113,0.530488808,0.726243034,93.31103679,3.154832151,24.3
"48","Dry",2,13.58660263,0.539771949,0.751100557,17.39130435,3.144522242,23.8
"49","WW",3,11.92381701,0.384188522,0.737937171,35.2769836956482,2.14111262924669,30.8
"50","WW",3,11.25437411,0.412816899,0.686506349,15.3206901803051,2.42975430823329,28.7
"51","WW",3,11.82143799,0.462988971,0.718684055,20.6807233918001,2.53476021656509,33.5
"52","WW",3,11.08095747,0.471139635,0.690560655,20.6830646172029,2.57204270581213,31.9
"53","WW",3,11.63306989,0.343946344,0.702519558,30.3154099867803,3.11704517547606,30.2
"54","WW",3,9.19586359,0.15447672,0.683533983,34.5085628445163,2.8115772943894,30.5
"55","WW",3,11.19577658,0.365032743,0.715548333,31.9219537153879,2.38778423688586,28.8
"56","WW",3,10.17824479,0.291755666,0.739360541,14.9812045630283,2.28050653227567,35.7
"57","WW",3,11.92381701,0.384188522,0.737937171,26.0824106410801,2.26927918712564,38.5
"58","WW",3,11.25437411,0.412816899,0.686506349,17.8491203837487,2.46385844519348,30.4
"59","WW",3,11.82143799,0.462988971,0.718684055,26.6156310268952,2.95370911238121,32.3
"60","WW",3,11.08095747,0.471139635,0.690560655,23.0298821840161,2.89181076806863,38.7
"61","Dry",3,12.25793936,0.383351728,0.735715186,32.2485139746249,2.68661178008141,23.9
"62","Dry",3,13.21190543,0.447630323,0.746164575,36.2404479807789,2.09143038998908,26.3
"63","Dry",3,12.48007308,0.311565854,0.73966674,21.984620958303,2.8252914276796,20.4
"64","Dry",3,11.81487483,0.296995024,0.721274479,16.8518518639875,2.49454424668238,20.4
"65","Dry",3,11.24120953,0.28682391,0.715816138,33.6601701402812,3.11787932654398,21.1
"66","Dry",3,12.11687456,0.411491074,0.731572502,30.6280257636413,3.05595497944759,20.1
"67","Dry",3,10.66090921,0.267505827,0.716966023,31.6311367557162,3.06421380540607,25.1
"68","Dry",3,10.89980141,0.286333679,0.727672079,22.622149632483,2.39003474869727,24.1
"69","Dry",3,12.25793936,0.383351728,0.735715186,27.4170075907248,2.13765939495743,24.8
"70","Dry",3,13.21190543,0.447630323,0.746164575,27.4539150554248,2.97568286260405,22.8
"71","Dry",3,12.48007308,0.311565854,0.73966674,19.4919294396159,2.78080683035118,24.7
"72","Dry",3,11.81487483,0.296995024,0.721274479,22.3505367411529,2.60665494915449,27.1
"73","WW",4,7.907610138,0.304218373,0.725896388,38.92457889,4.045364302,33.9
"74","WW",4,10.37642077,0.346331333,0.715189713,94.10187668,3.336051598,34.4
"75","WW",4,8.751968378,0.261474884,0.733038182,55.43544063,3.30786235,32.2
"76","WW",4,8.593832314,0.324736977,0.658992796,29.12503047,5.331115525,37.6
"77","WW",4,8.119536442,0.243322853,0.699457024,38.30958092,3.072841679,28.7
"78","WW",4,7.158364544,0.239450149,0.686428836,66.01876676,4.021023303,30.7
"79","WW",4,8.944059035,0.314082125,0.725725318,32.75589469,3.731983528,26.2
"80","WW",4,1.179128706,0.171986094,0.688846729,53.41823056,2.488601824,31.8
"81","WW",4,4.051826188,0.169528188,0.750792353,28.61557939,3.079396799,33.1
"82","WW",4,9.791048434,0.310547207,0.694162088,30.17897254,2.555514685,34
"83","WW",4,9.65396778,0.305888101,0.691874311,21.75122667,2.811935877,29.8
"84","WW",4,8.459231434,0.240470373,0.71693321,24.62363374,2.426708501,29.2
"85","Dry",4,12.18153443,0.029643587,0.726302403,31.82542211,3.33194817,38.7
"86","Dry",4,16.97837025,0.033258077,0.746071765,20.72313069,3.097708029,24.7
"87","Dry",4,7.033300047,0.019474179,0.737228377,21.64214523,3.242233459,22.3
"88","Dry",4,14.60535868,0.029093065,0.744303952,44.4168294,2.435525306,23.4
"89","Dry",4,19.38803083,0.023191697,0.727278256,25.92708988,2.956354413,22.8
"90","Dry",4,10.82269422,0.027717822,0.735181802,32.56516546,3.053445451,24.3
"91","Dry",4,5.141682902,0.267219943,0.692234871,58.49731664,3.483110962,21.1
"92","Dry",4,7.344132822,0.20291445,0.66536182,27.50135208,2.982117667,21.2
"93","Dry",4,5.089762327,0.260170065,0.660819421,45.55625393,3.311921582,22.3
"94","Dry",4,3.839079143,0.345205591,0.662422537,39.41500839,3.161259768,21.5
