"","From","To","Probability","Strength"
"921","Bra001020","Bra000159",0.986275862068966,1.87859889655173
"929","Bra001020","Bra001306",0.999931034482759,2.10117606896552
"935","Bra001020","Bra003237",0.997655172413793,2.15233137931035
"937","Bra001020","Bra003512",0.978620689655172,1.86475682758621
"939","Bra001020","Bra004087,snoR74",0.957655172413793,1.94152524137931
"943","Bra001020","Bra004244",0.803655172413793,-1.17163565517241
"946","Bra001020","Bra004806",0.922068965517241,1.85396634482759
"951","Bra001020","Bra005371",0.995724137931035,2.03336213793103
"952","Bra001020","Bra005386",0.924413793103448,1.69860682758621
"956","Bra001020","Bra005923",0.999793103448276,1.97839903448275
"959","Bra001020","Bra006289",0.93648275862069,2.00327793103449
"963","Bra001020","Bra006936",0.996689655172414,2.04221537931035
"967","Bra001020","Bra008030",0.999379310344828,1.98277868965518
"972","Bra001020","Bra009431",0.970275862068966,2.07977813793102
"980","Bra001020","Bra011794,Bra011795",0.967241379310345,1.8516955862069
"983","Bra001020","Bra012667,Bra012694",0.957724137931035,1.94846420689655
"995","Bra001020","Bra015315",0.862068965517241,-1.08126193103449
"996","Bra001020","Bra015319",0.999655172413793,2.05660724137931
"1005","Bra001020","Bra018381",0.840413793103448,1.69339689655172
"1007","Bra001020","Bra019068,Bra019069,Bra019070",0.998,2.0707135862069
"1010","Bra001020","Bra020000",0.987034482758621,1.95096034482759
"1011","Bra001020","Bra020098",0.998896551724138,2.06808386206896
"1025","Bra001020","Bra027577,Bra027578",0.987862068965517,2.03302213793105
"1030","Bra001020","Bra028546",0.837172413793103,1.71251096551724
"1033","Bra001020","Bra030179",0.986206896551724,1.9331648275862
"1040","Bra001020","Bra033172",0.995793103448276,2.00216668965518
"1052","Bra001020","Bra035980",1,2.04938013793104
"1053","Bra001020","Bra036117",1,2.09029510344828
"1055","Bra001020","Bra036611",1,1.96255903448275
"1062","Bra001020","Bra038503",1,2.0055376551724
"1069","Bra001020","Bra040120",0.999172413793103,2.01561868965517
"1087","Bra001020","Bra0051801",0.998,1.961198
"1093","Bra001020","Bra0066611",0.974068965517241,1.96506427586206
"1121","Bra001020","Bra0178531",0.867034482758621,-1.56612965517241
"1132","Bra001020","Bra0291931",0.843103448275862,-1.97725179310345
"1134","Bra001020","Bra032315,Bra0323161",0.907862068965517,-1.9464112413793
"1148","Bra001020","Bra0399991",0.997586206896552,2.02237137931034
"1150","Bra001020","Bra0401971",0.948896551724138,1.85733620689655
"20260","Bra019662","Bra004159",1,-1.97955496551724
"20275","Bra019662","Bra005709",0.988689655172414,-1.88287351724136
"20280","Bra019662","Bra006391",0.93648275862069,-1.93280434482759
"20285","Bra019662","Bra007668",0.992206896551724,-1.90812544827586
"20293","Bra019662","Bra009449",0.999448275862069,-2.27579406896552
"20297","Bra019662","Bra010106",1,-2.02735413793104
"20326","Bra019662","Bra018907",0.850206896551724,-1.15686393103449
"20337","Bra019662","Bra023434",1,-2.16043489655173
"20342","Bra019662","Bra025926",0.999310344827586,-1.99752793103448
"20343","Bra019662","Bra026846",0.803379310344828,1.25825220689655
"20348","Bra019662","Bra028113,Bra028114",1,-2.60634455172413
"20351","Bra019662","Bra029193",0.941862068965517,-2.21462220689656
"20363","Bra019662","Bra033495",0.999655172413793,-2.07284662068965
"20364","Bra019662","Bra033752,Bra033753",0.840758620689655,-1.46371282758621
"20378","Bra019662","Bra036792",0.992689655172414,-1.88983524137931
"25459","Bra029193","Bra004087,snoR741",0.992275862068966,-1.82381786206896
"25464","Bra029193","Bra0048061",1,-1.86717213793104
"25470","Bra029193","Bra0059231",1,-1.81344441379311
"25474","Bra029193","Bra0069361",1,-1.98119510344827
"25476","Bra029193","Bra0080301",0.999931034482759,-1.78115006896552
"25480","Bra029193","Bra0094311",0.999586206896552,-2.15396862068966
"25485","Bra029193","Bra011794,Bra0117951",0.857103448275862,-1.89968275862069
