"","x"
"1","2"
"2","3"
"3","3"
"4","2"
"5","3"
"6","2"
"7","2"
"8","2"
"9","2"
"10","4"
"11","1"
"12","2"
"13","4"
"14","2"
"15","2"
"16","1"
"17","2"
"18","1"
"19","2"
"20","2"
"21","1"
"22","2"
"23","2"
"24","2"
"25","1"
"26","2"
"27","2"
"28","4"
"29","4"
"30","2"
"31","3"
"32","2"
"33","2"
"34","2"
"35","2"
"36","2"
"37","2"
"38","2"
"39","1"
"40","1"
"41","2"
"42","1"
"43","2"
"44","4"
"45","1"
"46","2"
"47","2"
"48","3"
"49","1"
"50","4"
"51","4"
"52","2"
"53","2"
"54","2"
"55","2"
"56","4"
"57","1"
"58","4"
"59","2"
"60","2"
"61","2"
"62","1"
"63","2"
"64","2"
"65","2"
"66","2"
"67","2"
"68","2"
"69","2"
"70","2"
"71","2"
"72","2"
"73","2"
"74","2"
"75","1"
"76","2"
"77","1"
"78","4"
"79","2"
"80","2"
"81","4"
"82","4"
"83","2"
"84","2"
"85","2"
"86","1"
"87","2"
"88","2"
"89","2"
"90","2"
"91","2"
"92","4"
"93","2"
"94","2"
"95","2"
"96","1"
"97","2"
"98","2"
"99","4"
"100","4"
"101","3"
"102","2"
"103","3"
"104","1"
"105","2"
"106","4"
"107","2"
"108","3"
"109","2"
"110","3"
"111","3"
"112","2"
"113","2"
"114","2"
"115","2"
"116","2"
"117","2"
"118","2"
"119","2"
"120","2"
"121","4"
"122","4"
"123","2"
"124","1"
"125","2"
"126","2"
"127","2"
"128","2"
"129","2"
"130","2"
"131","4"
"132","2"
"133","2"
"134","1"
"135","2"
"136","2"
"137","4"
"138","2"
"139","2"
"140","1"
"141","2"
"142","2"
"143","4"
"144","2"
"145","4"
"146","1"
"147","2"
"148","2"
"149","2"
"150","2"
"151","1"
"152","2"
"153","2"
"154","2"
"155","2"
"156","4"
"157","2"
"158","2"
"159","2"
"160","2"
"161","2"
"162","2"
"163","2"
"164","2"
"165","4"
"166","2"
"167","2"
"168","2"
"169","2"
"170","2"
"171","2"
"172","2"
"173","2"
"174","2"
"175","4"
"176","2"
"177","2"
"178","4"
"179","4"
"180","2"
"181","2"
"182","2"
"183","4"
"184","4"
"185","2"
"186","2"
"187","2"
"188","2"
"189","2"
"190","2"
"191","2"
"192","2"
"193","2"
"194","2"
"195","2"
"196","4"
"197","2"
"198","2"
"199","4"
"200","4"
"201","2"
"202","2"
"203","2"
"204","4"
"205","2"
"206","2"
"207","2"
"208","4"
"209","4"
"210","2"
"211","2"
"212","2"
"213","2"
"214","2"
"215","2"
"216","4"
"217","4"
"218","2"
"219","2"
"220","4"
"221","2"
"222","4"
"223","4"
"224","2"
"225","4"
"226","4"
"227","2"
"228","2"
"229","2"
"230","2"
