"","From","To","Method","Theta"
"1","Bra028546","Bra001004","simone",-0.0338579776964522
"2","Bra005371","Bra001104","simone",0.00487437089158526
"3","Bra028546","Bra001169","simone",-0.0139092810740476
"4","Bra005371","Bra002892","simone",-0.0175027748061956
"5","Bra028546","Bra002892","simone",-0.026266566861074
"6","Bra028113.Bra028114","Bra003236","simone",0.00970498868356645
"7","Bra028546","Bra003236","simone",-0.0170016230570502
"8","Bra028546","Bra003512","simone",0.0035842962234181
"9","Bra028113.Bra028114","Bra004159","simone",0.0415302620782613
"10","Bra028113.Bra028114","Bra005386","simone",-0.0284991296683649
"11","Bra026846","Bra005668","simone",0.0283415086822393
"12","Bra028113.Bra028114","Bra005709","simone",0.0700294316257382
"13","Bra001020","Bra006107","simone",0.00749988594857411
"14","Bra028546","Bra006107","simone",0.012287178026662
"15","Bra028546","Bra007668","simone",-0.0322561413906846
"16","Bra001020","Bra007680","simone",0.0146859633250452
"17","Bra028113.Bra028114","Bra009449","simone",0.0383755783888987
"18","Bra028546","Bra010106","simone",-0.0489651381228619
"19","Bra028546","Bra011583","simone",-0.024906891074063
"20","Bra028546","Bra011794.Bra011795","simone",0.0189319726370344
"21","Bra000915","Bra017055","simone",0.00288717020035038
"22","Bra028546","Bra020000","simone",3.28819918720079e-05
"23","Bra028546","Bra021937","simone",0.0407562406297297
"24","Bra028546","Bra023434","simone",-0.0264786114789027
"25","Bra028546","Bra025926","simone",-0.0275219854966469
"26","Bra028546","Bra027877","simone",-0.0564454606626129
"27","Bra000884","Bra028309.Bra028310","simone",0.00798010460044383
"28","Bra000884","Bra029515","simone",0.0463643522928409
"29","Bra028546","Bra030844","simone",0.0144120132477137
"30","Bra028546","Bra031600.Bra031604","simone",0.00662478390717798
"31","Bra028546","Bra032697","simone",0.0471052699756009
"32","Bra028546","Bra033172","simone",0.00960375092440404
"33","Bra026846","Bra033495","simone",-0.0240059847179048
"34","Bra028113.Bra028114","Bra033752.Bra033753","simone",0.0110685118521854
"35","Bra026846","Bra034573","simone",-0.000424629171091913
"36","Bra028546","Bra034573","simone",-0.00751813841816931
"37","Bra028546","Bra036709.Bra036710","simone",0.0233088443663247
"38","Bra028113.Bra028114","Bra036792","simone",0.0257006080128915
"39","Bra026846","Bra037771","simone",-0.0341553356412933
"40","Bra028546","Bra039496","simone",0.00843539335010948
"41","Bra000884","Bra039648","simone",-0.0105479444890315
"42","Bra005371","Bra0011041","simone",0.00487437089158526
"43","Bra028546","Bra011794.Bra0117951","simone",0.0189319726370344
"44","Bra000915","Bra0170551","simone",0.00288717020035038
"45","Bra028546","Bra0219371","simone",0.0407562406297297
"46","Bra028546","Bra0331721","simone",0.00960375092440404
"47","Bra000884","Bra0396481","simone",-0.0105479444890315
