"","From","To","Method","Theta"
"1","Bra028546","Bra001004","simone",-0.0336767152347137
"2","Bra005371","Bra001104","simone",0.0063678572543634
"3","Bra028546","Bra001169","simone",-0.013135707362574
"4","Bra005371","Bra002892","simone",-0.0218571305307332
"5","Bra028546","Bra002892","simone",-0.0279741503504423
"6","Bra028113.Bra028114","Bra003236","simone",0.00956038438325986
"7","Bra028546","Bra003236","simone",-0.0169018911511903
"8","Bra028546","Bra003512","simone",0.00367734769750852
"9","Bra028113.Bra028114","Bra004159","simone",0.038335530597125
"10","Bra028113.Bra028114","Bra005386","simone",-0.026960979105165
"11","Bra026846","Bra005668","simone",0.0285251643174589
"12","Bra028113.Bra028114","Bra005709","simone",0.0658959827153944
"13","Bra001020","Bra006107","simone",0.00772817918913175
"14","Bra028546","Bra006107","simone",0.0123024004899808
"15","Bra028546","Bra007668","simone",-0.0338450411440948
"16","Bra001020","Bra007680","simone",0.0122367639061608
"17","Bra028113.Bra028114","Bra009449","simone",0.0366623809168296
"18","Bra028546","Bra010106","simone",-0.044283505157331
"19","Bra028546","Bra011583","simone",-0.0260176823409946
"20","Bra028546","Bra011794.Bra011795","simone",0.0185951720634553
"21","Bra000915","Bra017055","simone",0.00271121281185277
"22","Bra028546","Bra020000","simone",3.37895152608379e-05
"23","Bra028546","Bra021937","simone",0.0343298805509845
"24","Bra028546","Bra023434","simone",-0.0262575967563518
"25","Bra028546","Bra025926","simone",-0.0256643220899971
"26","Bra028546","Bra027877","simone",-0.0594275514216908
"27","Bra000884","Bra028309.Bra028310","simone",0.00751541622166435
"28","Bra000884","Bra029515","simone",0.0472490059969101
"29","Bra028546","Bra030844","simone",0.0147819783960796
"30","Bra028546","Bra031600.Bra031604","simone",0.0067180799781669
"31","Bra028546","Bra032697","simone",0.044989676946844
"32","Bra028546","Bra033172","simone",0.0100116186995686
"33","Bra026846","Bra033495","simone",-0.0244713756891319
"34","Bra028113.Bra028114","Bra033752.Bra033753","simone",0.0100358073711553
"35","Bra026846","Bra034573","simone",-0.000407608635604845
"36","Bra028546","Bra034573","simone",-0.00758643006237902
"37","Bra028546","Bra036709.Bra036710","simone",0.0247532250549536
"38","Bra028113.Bra028114","Bra036792","simone",0.022939687528432
"39","Bra026846","Bra037771","simone",-0.0385068181229981
"40","Bra028546","Bra039496","simone",0.00815019077031629
"41","Bra000884","Bra039648","simone",-0.0114903569339704
"42","Bra005371","Bra0011041","simone",0.0063678572543634
"43","Bra028546","Bra011794.Bra0117951","simone",0.0185951720634553
"44","Bra000915","Bra0170551","simone",0.00271121281185277
"45","Bra028546","Bra0219371","simone",0.0343298805509845
"46","Bra028546","Bra0331721","simone",0.0100116186995686
"47","Bra000884","Bra0396481","simone",-0.0114903569339704
